Rank,Name,Position,Team,Bye,Overall,StdDev
1,Saquon Barkley,RB,NYG,11,1.9,0.9
2,Ezekiel Elliott,RB,DAL,8,2.2,1.2
3,Alvin Kamara,RB,NO,9,3,1.2
4,Christian McCaffrey,RB,CAR,7,3.5,1
5,David Johnson,RB,ARI,12,5.4,1
6,DeAndre Hopkins,WR,HOU,10,6.3,1.3
7,LeVeon Bell,RB,NYJ,4,6.9,1.9
8,Davante Adams,WR,GB,11,8.3,1.8
9,James Conner,RB,PIT,7,9,2
10,Joe Mixon,RB,CIN,9,10.9,2.5
11,Michael Thomas,WR,NO,9,12,2.5
12,Julio Jones,WR,ATL,9,12.1,2.3
13,Todd Gurley,RB,LAR,9,13.1,3.5
14,Nick Chubb,RB,CLE,7,14.9,3.5
15,Melvin Gordon,RB,LAC,12,15.2,4.2
16,Dalvin Cook,RB,MIN,12,15.3,3.2
17,Tyreek Hill,WR,KC,12,15.5,3.4
18,Odell Beckham Jr,WR,CLE,7,15.6,3.1
19,Damien Williams,RB,KC,12,18.2,3.4
20,JuJu Smith-Schuster,WR,PIT,7,19.1,3.2
21,Travis Kelce,TE,KC,12,20.1,3.7
22,Antonio Brown,WR,OAK,6,21.5,2.9
23,Mike Evans,WR,TB,7,23,2.6
24,Derrick Henry,RB,TEN,11,24.3,4.6
25,Pat Mahomes,QB,KC,12,25.3,6
26,Marlon Mack,RB,IND,6,25.5,3.5
27,Leonard Fournette,RB,JAX,10,26.5,3.6
28,Aaron Jones,RB,GB,11,27.4,3.5
29,T.Y. Hilton,WR,IND,6,27.8,3.5
30,Devonta Freeman,RB,ATL,9,30.3,3.5
31,Keenan Allen,WR,LAC,12,30.5,3.8
32,Kerryon Johnson,RB,DET,5,30.8,4
33,Adam Thielen,WR,MIN,12,32,3.9
34,Josh Jacobs,RB,OAK,6,33.8,3.7
35,Amari Cooper,WR,DAL,8,34.9,4.2
36,George Kittle,TE,SF,4,35.5,4.9
37,A.J. Green,WR,CIN,9,35.7,6.2
38,Mark Ingram,RB,BAL,8,37.8,3.9
39,David Montgomery,RB,CHI,6,38,3.8
40,Stefon Diggs,WR,MIN,12,39.5,3.6
41,Zach Ertz,TE,PHI,10,40.1,4.7
42,Phillip Lindsay,RB,DEN,10,41.7,4.7
43,Chris Carson,RB,SEA,11,43.6,5.4
44,Sony Michel,RB,NE,10,43.7,5.3
45,Brandin Cooks,WR,LAR,9,43.8,3.4
46,Julian Edelman,WR,NE,10,45.1,4.5
47,Andrew Luck,QB,IND,6,45.5,6.4
48,Kenny Golladay,WR,DET,5,47.2,3.7
49,Robert Woods,WR,LAR,9,47.8,4.1
50,Tyler Lockett,WR,SEA,11,50.7,4.2
51,Calvin Ridley,WR,ATL,9,51.4,4.6
52,Kenyan Drake,RB,MIA,5,51.7,4.9
53,Aaron Rodgers,QB,GB,11,52.6,6.2
54,Tevin Coleman,RB,SF,4,53.6,5.6
55,Deshaun Watson,QB,HOU,10,54.4,6.6
56,Mike Williams,WR,LAC,12,54.9,5
57,Chris Godwin,WR,TB,7,55,5.5
58,O.J. Howard,TE,TB,7,56.2,6.3
59,Cooper Kupp,WR,LAR,9,57.9,5.6
60,Derrius Guice,RB,WAS,10,60,6.7
61,Tyler Boyd,WR,CIN,9,61.2,5.5
62,Lamar Miller,RB,HOU,10,61.2,6.4
63,Evan Engram,TE,NYG,11,61.5,6
64,Alshon Jeffery,WR,PHI,10,63.9,6
65,Baker Mayfield,QB,CLE,7,64.1,8.7
66,Rashaad Penny,RB,SEA,11,64.5,6.5
67,D.J. Moore,WR,CAR,7,65.2,5.5
68,Hunter Henry,TE,LAC,12,65.2,7
69,Jarvis Landry,WR,CLE,7,67.7,6.8
70,Matt Ryan,QB,ATL,9,69.2,7.6
71,Tarik Cohen,RB,CHI,6,69.3,8.1
72,Robby Anderson,WR,NYJ,4,70.1,6.5
73,Darrell Henderson,RB,LAR,9,71.3,8.8
74,James White,RB,NE,10,72.5,8.2
75,Eric Ebron,TE,IND,6,72.9,8
76,Latavius Murray,RB,NO,9,75.5,7.6
77,Dante Pettis,WR,SF,4,75.9,6.7
78,Drew Brees,QB,NO,9,76.1,8.7
79,Jordan Howard,RB,PHI,10,78.2,7.8
80,Will Fuller,WR,HOU,10,78.7,7.5
81,Jared Cook,TE,NO,9,78.9,9.5
82,Allen Robinson,WR,CHI,6,79.8,6.7
83,Carson Wentz,QB,PHI,10,80.6,8.5
84,Vance McDonald,TE,PIT,7,82.9,8.3
85,Miles Sanders,RB,PHI,10,83.4,7.9
86,Christian Kirk,WR,ARI,12,83.7,7.1
87,Kareem Hunt,RB,CLE,7,84.7,9.8
88,Russell Wilson,QB,SEA,11,84.7,9.9
89,Sammy Watkins,WR,KC,12,87.9,8.2
90,Royce Freeman,RB,DEN,10,89.4,6.6
91,Ronald Jones II,RB,TB,7,89.9,6.9
92,David Njoku,TE,CLE,7,90.2,9.6
93,Kyler Murray,QB,ARI,12,90.5,10.1
94,Chicago Defense,DEF,CHI,6,90.6,9.1
95,Sterling Shepard,WR,NYG,11,92.5,9.2
96,Marvin Jones,WR,DET,5,92.8,7.3
97,Adrian Peterson,RB,WAS,10,93.9,9.9
98,Austin Ekeler,RB,LAC,12,95.3,9
99,Geronimo Allison,WR,GB,11,95.8,7.9
100,Cam Newton,QB,CAR,7,97.7,9
101,LeSean McCoy,RB,BUF,6,97.9,9.8
102,N'Keal Harry,WR,NE,10,98.4,8.2
103,Courtland Sutton,WR,DEN,10,98.4,8.4
104,Larry Fitzgerald,WR,ARI,12,102.5,8.4
105,Marquez Valdes-Scantling,WR,GB,11,103.3,8.4
106,Jared Goff,QB,LAR,9,103.5,9
107,Corey Davis,WR,TEN,11,105.9,7.7
108,Carlos Hyde,RB,KC,12,105.9,7.8
109,Damien Harris,RB,NE,10,106.1,10.7
110,Peyton Barber,RB,TB,7,107.8,9.2
111,LA Rams Defense,DEF,LAR,9,107.9,8.1
112,Philip Rivers,QB,LAC,12,108.1,9.2
113,D.K. Metcalf,WR,SEA,11,109.1,7.4
114,Jaylen Samuels,RB,PIT,7,109.8,8.3
115,Dede Westbrook,WR,JAX,10,112.6,9.1
116,Jameis Winston,QB,TB,7,113.2,9
117,DeSean Jackson,WR,PHI,10,114.1,9.4
118,Jacksonville Defense,DEF,JAX,10,116.1,8.3
119,Trey Burton,TE,CHI,6,116.2,15.3
120,Curtis Samuel,WR,CAR,7,116.3,8.1
121,Donta Foreman,RB,HOU,10,116.5,9.3
122,Tom Brady,QB,NE,10,117.6,12.4
123,Emmanuel Sanders,WR,DEN,10,120.4,11.6
124,LA Chargers Defense,DEF,LAC,12,121.2,6.8
125,Jerick McKinnon,RB,SF,4,123,10.9
126,Ben Roethlisberger,QB,PIT,7,123.3,8.4
127,James Washington,WR,PIT,7,126,7
128,Alexander Mattison,RB,MIN,12,126.1,10.3
129,Ito Smith,RB,ATL,9,126.3,11.2
130,Devin Funchess,WR,IND,6,126.5,9
131,Baltimore Defense,DEF,BAL,8,127,8.5
132,Delanie Walker,TE,TEN,11,127.4,16.4
133,Keke Coutee,WR,HOU,10,128.4,8.8
134,Golden Tate,WR,NYG,11,129.1,8.1
135,Anthony Miller,WR,CHI,6,130.4,9.6
136,Dak Prescott,QB,DAL,8,131.4,12
137,Minnesota Defense,DEF,MIN,12,132.5,8.3
138,Lamar Jackson,QB,BAL,8,132.6,11.1
139,Devin Singletary,RB,BUF,6,132.7,11.1
140,Jimmy Garoppolo,QB,SF,4,133.2,10.1
141,Donte Moncrief,WR,PIT,7,135.2,8.9
142,Cleveland Defense,DEF,CLE,7,136.6,10.6
143,Matt Breida,RB,SF,4,138.5,15.9
144,Parris Campbell,WR,IND,6,139.1,11
145,Justice Hill,RB,BAL,8,139.6,15.1
146,Tyrell Williams,WR,OAK,6,140.4,12.7
147,T.J. Hockenson,TE,DET,5,141.6,16.8
148,Kirk Cousins,QB,MIN,12,141.9,12.8
