Rank,Name,Position,Team,Bye,Overall,StdDev
1,Saquon Barkley,RB,NYG,11,1.6,1
2,Christian McCaffrey,RB,CAR,7,3,1.3
3,Ezekiel Elliott,RB,DAL,8,3.1,1.6
4,Alvin Kamara,RB,NO,9,3.2,1.2
5,David Johnson,RB,ARI,12,5.4,1.3
6,DeAndre Hopkins,WR,HOU,10,6.4,1.5
7,Davante Adams,WR,GB,11,7.3,1.8
8,LeVeon Bell,RB,NYJ,4,7.8,2.1
9,Julio Jones,WR,ATL,9,9.7,1.8
10,James Conner,RB,PIT,7,10,2.3
11,Michael Thomas,WR,NO,9,11.1,2.2
12,Odell Beckham Jr,WR,CLE,7,12.5,2.5
13,Joe Mixon,RB,CIN,9,13.3,3.1
14,Tyreek Hill,WR,KC,12,13.6,2.7
15,Todd Gurley,RB,LAR,9,14.3,3.3
16,JuJu Smith-Schuster,WR,PIT,7,16.2,2.6
17,Dalvin Cook,RB,MIN,12,16.7,2.9
18,Melvin Gordon,RB,LAC,12,17.2,3.7
19,Damien Williams,RB,KC,12,18.7,3.4
20,Travis Kelce,TE,KC,12,19.2,3.5
21,Antonio Brown,WR,OAK,6,20.4,2.8
22,Nick Chubb,RB,CLE,7,20.4,3.4
23,Mike Evans,WR,TB,7,22.1,2.7
24,T.Y. Hilton,WR,IND,6,25.1,2.9
25,Aaron Jones,RB,GB,11,25.2,4
26,Keenan Allen,WR,LAC,12,26.7,2.9
27,Marlon Mack,RB,IND,6,28.2,3.3
28,Adam Thielen,WR,MIN,12,28.4,3.3
29,Devonta Freeman,RB,ATL,9,29.1,3.5
30,Pat Mahomes,QB,KC,12,29.2,7.4
31,Kerryon Johnson,RB,DET,5,30.2,3.8
32,Leonard Fournette,RB,JAX,10,30.4,4
33,Amari Cooper,WR,DAL,8,32.4,3.9
34,Zach Ertz,TE,PHI,10,33.7,4.8
35,Derrick Henry,RB,TEN,11,33.9,5.3
36,Josh Jacobs,RB,OAK,6,34.8,3.7
37,George Kittle,TE,SF,4,36.2,5
38,A.J. Green,WR,CIN,9,37.5,5.9
39,Stefon Diggs,WR,MIN,12,37.7,3.8
40,Julian Edelman,WR,NE,10,38.7,4.2
41,David Montgomery,RB,CHI,6,39.2,4.9
42,Brandin Cooks,WR,LAR,9,42,3.5
43,Mark Ingram,RB,BAL,8,42,5.1
44,Robert Woods,WR,LAR,9,43.9,3.1
45,Phillip Lindsay,RB,DEN,10,44.1,5.5
46,Chris Carson,RB,SEA,11,45.4,5.5
47,Kenny Golladay,WR,DET,5,46.9,3.9
48,Chris Godwin,WR,TB,7,48.3,4.7
49,Sony Michel,RB,NE,10,48.5,6.1
50,Cooper Kupp,WR,LAR,9,49.4,4.8
51,Andrew Luck,QB,IND,6,50.1,7.7
52,Tyler Lockett,WR,SEA,11,51.2,4.7
53,Calvin Ridley,WR,ATL,9,53.2,4.8
54,Kenyan Drake,RB,MIA,5,53.9,5.4
55,Aaron Rodgers,QB,GB,11,54.7,7.5
56,James White,RB,NE,10,55.4,5.3
57,O.J. Howard,TE,TB,7,55.8,6.2
58,Deshaun Watson,QB,HOU,10,56.8,7.5
